Country,siteName,contactEmail,sciName,totalCount,family,active.ambush,feedingTypeFishbase,feedingImpute,trophicGroupRLS,trophicImpute,waterColumnRLS,waterColumnImpute,eat.squid,eat.squidImpute,BodyShapeI,BodyShapeII,Forehead,TypeofMouth,PosofMouth,CShape,Attributes,TL,HL,BD,SnoutTipX,SnoutTipY,AspectRatio,EncIndex,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,SoftBottom,Sand,Mud,HardBottom,SeaGrassBeds,CoralReefs,Estuaries,Mangroves,Intertidal,Saltmarshes,Herbivory2,Climate,FoodI,FoodII
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Sardinops sagax,1,Clupeidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,fusiform / normal,compressed,more or less straight,more or less normal,terminal,forked,more or less normal,587.5,131.5,119,27,190,2.510855,NaN,2.84,0.125,2.61,0.29,0,0,0,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos;zooplankton,benth. crust.;jellyfish/hydroids;mollusks;other plank. invertebrates;phytoplankton;plank. crust.;sponges/tunicates;worms
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Sprattus sprattus,55,Clupeidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,NA,pelagic,0,0,fusiform / normal,compressed,more or less straight,more or less normal,terminal,forked,more or less normal,596,116,113,NaN,NaN,1.58155,124,NaN,NaN,3.01,0.07,0,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,zooplankton,other plank. invertebrates;plank. crust.
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Artedius harringtoni,1,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,587,161,129,NaN,NaN,1.12915,NaN,NaN,NaN,3.41,0.52,0,0,0,0,0,-1,0,0,-1,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,zoobenthos,benth. crust.;mollusks;worms
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Artedius lateralis,2,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Benthic,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,438,136,84,NaN,NaN,1.23792,NaN,3.7,0.4,3.061,0.26,0,0,0,-1,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),polar,zoobenthos,worms
USA (CA2),Windy Cove,jkoleary@calpoly.edu,Artedius lateralis,11,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,438,136,84,NaN,NaN,1.23792,NaN,3.7,0.4,3.061,0.26,0,0,0,-1,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),polar,zoobenthos,worms
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Cottoidea sp.,1,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA (OR),OIMB-Valino-SSNERR,agalow3@uoregon.edu,Cottus asper,1,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,569,148,104,NaN,NaN,0.876085,NaN,3.2,NaN,3.61,0.51,-1,-1,0,-1,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);insects;mollusks;plank. crust.
USA (DE),"UD Lewes, DE",lanej@udel.edu,Cottus bairdi,2,Cottidae,ambush,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Enophrys bison,4,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Benthic,benthic,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,579,199,149,NaN,NaN,1.47686,NaN,NaN,NaN,3.34,0.52,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,nekton;plants;zoobenthos,benth. crust.;finfish;mollusks;other plants
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Hemilepidotus hemilepidotus,1,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Benthic,benthic,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,586,184,128,NaN,NaN,1.45997,NaN,3.53,0.57,3.609999895,0.6,0,0,0,-1,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),polar,nekton;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;plank. crust.;worms
USA (AK),Sunshine Cove,wraymond2@alaska.edu,Leptocottus armatus,11,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher Carnivore,higher carnivore,Demersal,demersal,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,594,175,120,NaN,NaN,1.27423,NaN,NaN,NaN,3.68,0.64,-1,-1,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),boreal;polar,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);insects;mollusks;plank. crust.;worms
USA (CA),San Diego,khovel@mail.sdsu.edu,Leptocottus armatus,2,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher Carnivore,higher carnivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,594,175,120,NaN,NaN,1.27423,NaN,NaN,NaN,3.68,0.64,-1,-1,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),boreal;polar,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);insects;mollusks;plank. crust.;worms
USA (CA2),Windy Cove,jkoleary@calpoly.edu,Leptocottus armatus,4,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher Carnivore,higher carnivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,594,175,120,NaN,NaN,1.27423,NaN,NaN,NaN,3.68,0.64,-1,-1,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),boreal;polar,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);insects;mollusks;plank. crust.;worms
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Leptocottus armatus,9,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher Carnivore,higher carnivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,594,175,120,NaN,NaN,1.27423,NaN,NaN,NaN,3.68,0.64,-1,-1,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),boreal;polar,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);insects;mollusks;plank. crust.;worms
USA (OR),OIMB-Valino-SSNERR,agalow3@uoregon.edu,Leptocottus armatus,58,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher Carnivore,higher carnivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,594,175,120,NaN,NaN,1.27423,NaN,NaN,NaN,3.68,0.64,-1,-1,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),boreal;polar,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);insects;mollusks;plank. crust.;worms
USA (WA2),False Bay,ojgraham@me.com,Leptocottus armatus,42,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher Carnivore,higher carnivore,Demersal,demersal,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,594,175,120,NaN,NaN,1.27423,NaN,NaN,NaN,3.68,0.64,-1,-1,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),boreal;polar,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);insects;mollusks;plank. crust.;worms
USA (MA),Dorothy Cove,rhughes@northeastern.edu,Myoxocephalus aenaeus,1,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,543,148,123,NaN,NaN,0.685198,NaN,3.74,NaN,3.48,0.44,0,0,0,0,-1,0,-1,0,0,0,mainly animals (troph. 2.8 and up),temperate,nekton;zoobenthos,benth. crust.;echinoderms;finfish;mollusks;sponges/tunicates
USA (AK),Sunshine Cove,wraymond2@alaska.edu,Myoxocephalus polyacanthocephalus,4,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,Demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,other (see remark),more or less normal,586,201,103,NaN,NaN,1.00063,NaN,3.76,0.18,3.71,0.65,-1,0,0,0,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),boreal;polar;subtropical,nekton;zoobenthos,benth. crust.;finfish;mollusks;worms
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Oligocottus maculosus,5,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Benthic,benthic,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,597,155,129,NaN,NaN,1.00868,NaN,NaN,NaN,3.38,0.47,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;polar;temperate,nekton;zoobenthos,benth. crust.;finfish;insects;worms
USA (AK),Sunshine Cove,wraymond2@alaska.edu,Oligocottus maculosus,3,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,other (see remark),more or less normal,597,155,129,NaN,NaN,1.00868,NaN,NaN,NaN,3.38,0.47,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;polar;temperate,nekton;zoobenthos,benth. crust.;finfish;insects;worms
Korea,Koje-Korea,"sormyo@pusan.ac.kr, klee@pusan.ac.kr",Porocottus leptosomus,1,Cottidae,ambush,NA,browsing on substrate,NA,benthic invertivore,Demersal,demersal,1,1,elongated,compressed,clearly convex,NA,terminal,more or less truncate,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,temperate,,
Korea,Koje-Korea,"sormyo@pusan.ac.kr, klee@pusan.ac.kr",Pseudoblennius cottoides,7,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.28,0.44,3.71,0.62,0,0,0,0,-1,-1,0,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,nekton;zoobenthos,benth. crust.;finfish
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Scorpaenichthys marmoratus,1,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Benthic,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,440,147,92,NaN,NaN,0.992368,NaN,NaN,NaN,3.619999886,0.47,-1,0,0,-1,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);mollusks;plank. crust.;worms
USA (CA2),Windy Cove,jkoleary@calpoly.edu,Scorpaenichthys marmoratus,1,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,440,147,92,NaN,NaN,0.992368,NaN,NaN,NaN,3.619999886,0.47,-1,0,0,-1,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);mollusks;plank. crust.;worms
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Scorpaenichthys marmoratus,1,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,more or less truncate,more or less normal,440,147,92,NaN,NaN,0.992368,NaN,NaN,NaN,3.619999886,0.47,-1,0,0,-1,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,nekton;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);mollusks;plank. crust.;worms
USA (WA),Redondo S-6,hultgrenk@seattleu.edu,sculpin sp.,1,Cottidae,ambush,NA,browsing on substrate,NA,scraping herbivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Taurulus bubalis,3,Cottidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,NA,613,210,168,NaN,NaN,0.329912,NaN,NaN,NaN,3.59,0.52,0,0,0,0,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),temperate,nekton;zoobenthos;zooplankton,benth. crust.;echinoderms;finfish;mollusks;plank. crust.;worms
Norway,NN_Juvika,katrin.sieben@gmail.com,Crangon crangon,34,Crangonidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Crangon crangon,55,Crangonidae,active,NA,variable,NA,benthic invertivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada (QC),QC_Baie St-Ludger,mathieu.cusson@uqac.ca,Crangon septemspinosa,65,Crangonidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Crangon sp.,1,Crangonidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,NN_Juvika,katrin.sieben@gmail.com,Cyclopterus lumpus,2,Cyclopteridae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,Benthopelagic,benthopelagic,1,1,short and / or deep,angular,more or less straight,more or less normal,superior,more or less truncate,NA,580,123,202,28,169,0.727708,4,3.89,NaN,3.64,0.43,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),temperate,nekton;plants;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);jellyfish/hydroids;other plank. invertebrates;other plants;plank. crust.;worms
USA (MA),Dorothy Cove,rhughes@northeastern.edu,Cyclopterus lumpus,1,Cyclopteridae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Benthopelagic,benthopelagic,1,1,short and / or deep,angular,more or less straight,more or less normal,superior,more or less truncate,NA,580,123,202,28,169,0.727708,4,3.89,NaN,3.64,0.43,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),temperate,nekton;plants;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);jellyfish/hydroids;other plank. invertebrates;other plants;plank. crust.;worms
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Aphanius fasciatus,17,Cyprinodontidae,active,grazing on aquatic plants,grazing on aquatic plants,Omnivore,omnivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,NA,546,128,127,NaN,NaN,1.10763,NaN,NaN,NaN,2.66,0.27,0,0,0,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,plants;zoobenthos,other benth. invertebrates;other plants
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Aphanius fasciatus REDUNDANT,1,Cyprinodontidae,active,grazing on aquatic plants,grazing on aquatic plants,Omnivore,omnivore,demersal,demersal,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA (TX),Oso Bay,mdiskin@islander.tamucc.edu,Cyprinodon variegatus,26,Cyprinodontidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,short and / or deep,NA,NA,NA,NA,NA,NA,530,118,193,NaN,NaN,1.40865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,tropical,,
USA (FL),NA,NA,Chilomycterus schoepfi,1,Diodontidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA (NC),NC,sziegler@live.unc.edu,Chilomycterus schoepfi,1,Diodontidae,active,variable,variable,benthic invertivore,benthic invertivore,demersal,demersal,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico (ICML2),NA,NA,Diodon hystrix,2,Diodontidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,short and / or deep,NA,NA,NA,NA,more or less truncate,more or less normal,558,145,196,NaN,NaN,1.53265,20,3.67,NaN,3.61,0.56,0,0,0,0,-1,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;echinoderms;finfish;mollusks;other benth. invertebrates
Australia (QLD2),NA,NA,Echeneis naucrates,6,Echeneidae,active,variable,variable,benthic invertivore;Higher carnivore,benthic invertivore;higher carnivore,NA,benthic,0,0,elongated,NA,NA,NA,NA,more or less truncate,NA,613,98,51,NaN,NaN,1.53934,18.5,3.68,0.255,3.4,0.45,0,0,0,0,-1,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,zooplankton,other plank. invertebrates
Australia (NSW),Smiths_Lake_NSW,a.poore@unsw.edu.au,Philypnodon grandiceps,2,Eleotridae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,0.59,-1,0,-1,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical,nekton;zoobenthos,benth. crust.;finfish;insects
USA (TX),Oso Bay,mdiskin@islander.tamucc.edu,Elops saurus,10,Elopidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,elongated,compressed,more or less straight,more or less normal,terminal,forked,more or less normal,592,98,102,NaN,NaN,0.899151,NaN,3.49,0.32,4.11,0.71,-1,0,-1,0,0,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;cephalopods;finfish;insects
USA (WA),Redondo S-6,hultgrenk@seattleu.edu,Brachyistius frenatus,3,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,forked,more or less normal,592,133,204,NaN,NaN,1.3816,NaN,NaN,NaN,3.5,0.5,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,zoobenthos,benth. crust.
USA (WA2),False Bay,ojgraham@me.com,Brachyistius frenatus,7,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,pelagic site attached,pelagic site attached,1,1,fusiform / normal,NA,NA,NA,NA,forked,more or less normal,592,133,204,NaN,NaN,1.3816,NaN,NaN,NaN,3.5,0.5,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;subtropical;temperate,zoobenthos,benth. crust.
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Cymatogaster aggregata,27,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Pelagic site attached,pelagic site attached,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (CA),San Diego,khovel@mail.sdsu.edu,Cymatogaster aggregata,248,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (CA2),Windy Cove,jkoleary@calpoly.edu,Cymatogaster aggregata,181,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Cymatogaster aggregata,6,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (OR),OIMB-Valino-SSNERR,agalow3@uoregon.edu,Cymatogaster aggregata,163,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (WA),Redondo N-4,hultgrenk@seattleu.edu,Cymatogaster aggregata,2,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (WA),Redondo N-4,hultgrenk@seattleu.edu,Cymatogaster aggregata,2,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (WA),Redondo N-4,hultgrenk@seattleu.edu,Cymatogaster aggregata,2,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (WA),Redondo N1,hultgrenk@seattleu.edu,Cymatogaster aggregata,2,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (WA),Redondo N1,hultgrenk@seattleu.edu,Cymatogaster aggregata,2,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (WA),Redondo N1,hultgrenk@seattleu.edu,Cymatogaster aggregata,2,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
USA (WA),Redondo S-6,hultgrenk@seattleu.edu,Cymatogaster aggregata,230,Embiotocidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,short and / or deep,NA,NA,NA,NA,forked,more or less normal,584,152,206,NaN,NaN,1.25039,NaN,NaN,NaN,2.99,0.31,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;temperate,plants;zoobenthos,benth. crust.;mollusks;other plants;worms
